,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
5,2,3,aeef1afd-058c-411e-9dff-3225b08ee494,2-3,Sea Spectre Mk III, R 216,Albania,,Sea Spectre Mk III,Patrol Boat,Patrol,41.0,19.6,5.8,1.8,Monohull,Sleek,Raked,28.0,9.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 x Diesels,,,,0.0,Long and narrow,Very Small (<500 tons),Pole,Very Low,Simple arrays (1-2 basic radars),,GEM DX 132; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,Italy,,2006.0,,
6,4,8,a5d92116-1b31-44aa-ba91-6bff6dd3fe53,4-8,Kilo,012,Algeria,Mers El Kebir,Kilo (Project 877EKM/636),Submarine,Patrol Submarine,3076.0,72.6,9.9,6.6,Monohull,Fine,,17.0,52.0,Minimal,1,,0.0,,,0.0,2 x Diesels,25 mm,1.0,1.0,0.0,Balanced,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Raytheon; I-band,,,Multiple positions,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,US,,1999.0,,
6,4,8,a5d92116-1b31-44aa-ba91-6bff6dd3fe53,4-8,Kilo, 013,Algeria,Mers El Kebir,Kilo (Project 877EKM/636),Submarine,Patrol Submarine,3076.0,72.6,9.9,6.6,Monohull,Fine,,17.0,52.0,Minimal,1,,0.0,,,0.0,2 x Diesels,25 mm,1.0,1.0,0.0,Balanced,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Raytheon; I-band,,,Multiple positions,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,US,,1999.0,,
7,4,8,ae613294-00b0-4df3-adcc-aa7ecfb50315,4-8,Mourad Rais,901,Algeria,Mers El Kebir,Mourad Rais (Koni),Frigate,"ASW, Patrol",1900.0,96.4,12.6,3.5,Monohull,Sleek,Fine,27.0,130.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,6.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,Snoop Tray; I-band,,,Shark Gill; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Admiralty Yard, Leningrad",1986.0,1987.0,,
7,4,8,ae613294-00b0-4df3-adcc-aa7ecfb50315,4-8,Mourad Rais, 902,Algeria,Mers El Kebir,Mourad Rais (Koni),Frigate,"ASW, Patrol",1900.0,96.4,12.6,3.5,Monohull,Sleek,Fine,27.0,130.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,6.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,Snoop Tray; I-band,,,Shark Gill; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Admiralty Yard, Leningrad",1986.0,1987.0,,
7,4,8,ae613294-00b0-4df3-adcc-aa7ecfb50315,4-8,Mourad Rais, 903,Algeria,Mers El Kebir,Mourad Rais (Koni),Frigate,"ASW, Patrol",1900.0,96.4,12.6,3.5,Monohull,Sleek,Fine,27.0,130.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,6.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,Snoop Tray; I-band,,,Shark Gill; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Admiralty Yard, Leningrad",1986.0,1987.0,,
8,4,8,efcb96c6-c321-441e-a3c8-d0c191cea7a4,4-8,Kebir,341-350,Algeria,,Kebir,Fast Attack Craft,Patrol,200.0,37.5,6.9,1.7,Monohull,Sleek,Fine,23.0,23.0,Cluttered/asymmetric,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,3 in/76 mm,3.0,2.0,0.0,Balanced,"Small (500-2,000 tons)",Lattice,Medium,Simple arrays (1-2 basic radars),Strut Curve; D-band,,Pop Group; H/I-band,Hercules; Hull-mounted,Forward,2.0,Large (76mm-127mm),SA-N-4 SAM,,,n,n,0.0,n,0.0,Zelenodolsk Shipyard,,1990.0,,
8,4,8,efcb96c6-c321-441e-a3c8-d0c191cea7a4,4-8,Kebir,341-350,Algeria,,Kebir,Fast Attack Craft,Patrol,200.0,37.5,6.9,1.7,Monohull,Sleek,Fine,23.0,23.0,Cluttered/asymmetric,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,3 in/76 mm,3.0,2.0,0.0,Balanced,"Small (500-2,000 tons)",Lattice,Medium,Simple arrays (1-2 basic radars),Strut Curve; D-band,,Pop Group; H/I-band,Hercules; Hull-mounted,Aft,2.0,Large (76mm-127mm),SA-N-4 SAM,,,n,n,0.0,n,0.0,Zelenodolsk Shipyard,,1990.0,,
9,4,8,d5c188a2-2aa0-45d5-8f5f-ec478c1d555b,4-8,Osa II,644-652,Algeria,Mers El Kebir,Osa II (Project 205),Fast Attack Craft,Anti-Surface,245.0,38.6,7.6,2.7,Monohull,Sleek,Fine,37.0,30.0,Single continuous,1,Twin side-by-side,2.0,Tall/stack,Close,2.0,2 x Diesels,76 mm / 25 mm,3.0,1.0,0.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,,,,Forward,1.0,Large (76mm-127mm),,,,n,n,0.0,n,0.0,Brooke Marine / Mers-el-Kebir,,1983.0,,
10,4,8,6e8d1ccf-5531-44db-8af6-ad52118bc8c1,4-8,Kalaat Ben...,472,Algeria,Jijel,Kalaat Ben Hammad,Landing Ship (Logistic),Amphibious Transport,2450.0,93.0,15.5,2.5,Monohull,Beamish,Bluff,15.0,31.0,Single continuous,1,Three funnels,3.0,Tall/stack,Close,3.0,3 x Diesels,30 mm/65 (twin),1.18,2.0,0.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Square Tie; I-band,Drum Tilt; H/I-band,,Forward,2.0,Small (<30mm - CIWS small caliber),4 x SS-N-2C SSM,,,n,n,0.0,n,0.0,USSR,,1976.0,,
10,4,8,6e8d1ccf-5531-44db-8af6-ad52118bc8c1,4-8,Kalaat Ben..., 473,Algeria,Jijel,Kalaat Ben Hammad,Landing Ship (Logistic),Amphibious Transport,2450.0,93.0,15.5,2.5,Monohull,Beamish,Bluff,15.0,31.0,Single continuous,1,Three funnels,3.0,Tall/stack,Close,3.0,3 x Diesels,30 mm/65 (twin),1.18,2.0,0.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Square Tie; I-band,Drum Tilt; H/I-band,,Forward,2.0,Small (<30mm - CIWS small caliber),4 x SS-N-2C SSM,,,n,n,0.0,n,0.0,USSR,,1976.0,,
11,4,8,5a4408b6-f9d7-4ea6-8c7d-5a0a710f6f55,4-8,Polnochny B,,Algeria,Jijel,Polnochny B (Project 771),Landing Ship Medium,Amphibious Transport,854.0,75.0,8.6,2.3,Monohull,Beamish,Bluff,18.0,40.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 x Diesels,40 mm/70 (twin),1.57,1.0,0.0,Balanced,"Small (500-2,000 tons)",Pole,High,Simple arrays (1-2 basic radars),,,Marconi 800; J-band,,Forward,2.0,Medium (30mm-76mm),,,,y,n,0.0,y,1.0,Brooke Marine / Vosper Thornycroft,1983.0,1984.0,,
11,4,8,5a4408b6-f9d7-4ea6-8c7d-5a0a710f6f55,4-8,Polnochny B,,Algeria,Jijel,Polnochny B (Project 771),Landing Ship Medium,Amphibious Transport,854.0,75.0,8.6,2.3,Monohull,Beamish,Bluff,18.0,40.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 x Diesels,40 mm/70 (twin),1.57,1.0,0.0,Balanced,"Small (500-2,000 tons)",Pole,High,Simple arrays (1-2 basic radars),,,Marconi 800; J-band,,Aft,2.0,Medium (30mm-76mm),,,,y,n,0.0,y,1.0,Brooke Marine / Vosper Thornycroft,1983.0,1984.0,,
12,4,8,51758de6-79d1-493b-b7b4-0a475a23d256,4-8,Daxin,,Algeria,Mers El Kebir,Daxin,Training Ship,Training,5470.0,130.0,16.0,4.8,Monohull,Bulky,Bulbous,16.0,400.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Vertical,Close,2.0,2 x Diesels,30 mm (AK-230),1.18,2.0,0.0,Balanced,Very Small (<500 tons),Pole,Medium,Simple arrays (1-2 basic radars),,Don 2; I-band,Drum Tilt; H/I-band,,Forward,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Poland,1969.0,1976.0,,
13,10,24,a83d4e98-f51c-49c7-908d-94de15fb2f34,10-24,Santa Cruz,S 41,Argentina,Mar del Plata,Santa Cruz (TR 1700),Submarine,Patrol Submarine,2264.0,66.0,7.3,6.5,Monohull,Fine,,25.0,29.0,Central block,1,Single compact,1.0,Squat/boxy,,1.0,2 x Diesels,57 mm,2.24,1.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Lattice,High,Simple arrays (1-2 basic radars),Eye Shield; E-band,Type 756; I-band,Round Rail; I-band,Echo Type 5; Hull-mounted,Forward,1.0,Medium (30mm-76mm),,2 x AK-630,Amidships,y,n,0.0,y,1.0,"Hudong Shipyard, Shanghai",2006.0,2009.0,2,AK-630
13,10,24,a83d4e98-f51c-49c7-908d-94de15fb2f34,10-24,Santa Cruz, S 42,Argentina,Mar del Plata,Santa Cruz (TR 1700),Submarine,Patrol Submarine,2264.0,66.0,7.3,6.5,Monohull,Fine,,25.0,29.0,Central block,1,Single compact,1.0,Squat/boxy,,1.0,2 x Diesels,57 mm,2.24,1.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Lattice,High,Simple arrays (1-2 basic radars),Eye Shield; E-band,Type 756; I-band,Round Rail; I-band,Echo Type 5; Hull-mounted,Forward,1.0,Medium (30mm-76mm),,2 x AK-630,Amidships,y,n,0.0,y,1.0,"Hudong Shipyard, Shanghai",2006.0,2009.0,2,AK-630
14,10,24,f75c4d07-089b-4e3f-bb62-3a22c93fde81,10-24,Salta,S 31,Argentina,Mar del Plata,Type 209/1200,Submarine,Patrol Submarine,1248.0,55.9,6.3,5.5,Monohull,Fine,,22.0,31.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,6.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,,,,CSU 83; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,Thyssen Nordseewerke,1982.0,1984.0,,
15,10,24,7d3b95b4-5c17-431e-9d8f-818376d4e991,10-24,Almirante Brown,D 10,Argentina,Puerto Belgrano,Almirante Brown (MEKO 360 H2),Destroyer,Multi-role,3630.0,125.9,14.0,5.8,Monohull,Sleek,Fine,30.5,200.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,8.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,,,,CSU 3; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Howaldtswerke, Kiel",1972.0,1974.0,,
15,10,24,7d3b95b4-5c17-431e-9d8f-818376d4e991,10-24,Almirante Brown, D 11,Argentina,Puerto Belgrano,Almirante Brown (MEKO 360 H2),Destroyer,Multi-role,3630.0,125.9,14.0,5.8,Monohull,Sleek,Fine,30.5,200.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,8.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,,,,CSU 3; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Howaldtswerke, Kiel",1972.0,1974.0,,
15,10,24,7d3b95b4-5c17-431e-9d8f-818376d4e991,10-24,Almirante Brown, D 12,Argentina,Puerto Belgrano,Almirante Brown (MEKO 360 H2),Destroyer,Multi-role,3630.0,125.9,14.0,5.8,Monohull,Sleek,Fine,30.5,200.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,8.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,,,,CSU 3; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Howaldtswerke, Kiel",1972.0,1974.0,,
15,10,24,7d3b95b4-5c17-431e-9d8f-818376d4e991,10-24,Almirante Brown, D 13,Argentina,Puerto Belgrano,Almirante Brown (MEKO 360 H2),Destroyer,Multi-role,3630.0,125.9,14.0,5.8,Monohull,Sleek,Fine,30.5,200.0,Central block,1,,0.0,,,0.0,Diesel-Electric,,,,8.0,Long and narrow,"Small (500-2,000 tons)",nan,Very Low,None/Minimal,,,,CSU 3; Hull-mounted,,0.0,,,,,n,n,0.0,n,0.0,"Howaldtswerke, Kiel",1972.0,1974.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond,31,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Forward,2.0,Large (76mm-127mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond,31,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Forward,2.0,Medium (30mm-76mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond,31,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Aft,2.0,Large (76mm-127mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond,31,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Aft,2.0,Medium (30mm-76mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 32,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Forward,2.0,Large (76mm-127mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 32,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Forward,2.0,Medium (30mm-76mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 32,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Aft,2.0,Large (76mm-127mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 32,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Aft,2.0,Medium (30mm-76mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 33,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Forward,2.0,Large (76mm-127mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 33,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Forward,2.0,Medium (30mm-76mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 33,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Aft,2.0,Large (76mm-127mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
